iter	Passed	Remaining
729	8782	3248
730	8789	3234
731	8798	3221
732	8805	3207
733	8813	3193
734	8820	3180
735	8839	3170
736	8864	3163
737	8888	3155
738	8912	3147
739	8926	3136
740	8936	3123
741	8946	3110
742	8956	3097
743	8965	3084
744	8975	3072
745	9000	3064
746	9025	3056
747	9052	3049
748	9072	3040
749	9083	3027
750	9093	3014
751	9101	3001
752	9109	2988
753	9118	2974
754	9126	2961
755	9133	2947
756	9141	2934
757	9149	2920
758	9156	2907
759	9163	2893
760	9170	2880
761	9178	2866
762	9200	2857
763	9225	2849
764	9252	2842
765	9272	2832
766	9284	2820
767	9294	2807
768	9303	2794
769	9313	2781
770	9321	2768
771	9329	2755
772	9337	2741
773	9344	2728
774	9352	2715
775	9360	2701
776	9368	2688
777	9375	2675
778	9383	2662
779	9399	2651
780	9423	2642
781	9456	2636
782	9480	2627
783	9491	2615
784	9502	2602
785	9512	2589
786	9522	2577
787	9532	2564
788	9539	2551
789	9547	2537
790	9555	2524
791	9563	2511
792	9582	2501
793	9609	2493
794	9632	2483
795	9656	2474
796	9667	2462
797	9678	2449
798	9687	2437
799	9696	2424
800	9705	2411
801	9713	2398
802	9721	2384
803	9728	2371
804	9737	2358
805	9744	2345
806	9752	2332
807	9759	2319
808	9767	2305
809	9777	2293
810	9804	2284
811	9830	2275
812	9856	2267
813	9872	2255
814	9882	2243
815	9892	2230
816	9901	2217
817	9910	2205
818	9919	2192
819	9939	2181
820	9964	2172
821	9989	2163
822	10011	2153
823	10021	2140
824	10033	2128
825	10042	2115
826	10050	2102
827	10058	2089
828	10067	2076
829	10075	2063
830	10082	2050
831	10090	2037
832	10099	2024
833	10106	2011
834	10114	1998
835	10121	1985
836	10129	1972
837	10153	1962
838	10179	1953
839	10203	1943
840	10224	1933
841	10236	1920
842	10246	1908
843	10254	1895
844	10264	1882
845	10273	1870
846	10281	1857
847	10289	1844
848	10296	1831
849	10305	1818
850	10313	1805
851	10320	1792
852	10328	1779
853	10336	1767
854	10360	1757
855	10384	1746
856	10408	1736
857	10429	1726
858	10443	1714
859	10455	1702
860	10465	1689
861	10476	1677
862	10485	1664
863	10493	1651
864	10501	1638
865	10510	1626
866	10517	1613
867	10526	1600
868	10532	1587
869	10541	1575
870	10548	1562
871	10555	1549
872	10563	1536
873	10569	1523
874	10579	1511
875	10597	1500
876	10623	1489
877	10650	1479
878	10669	1468
879	10683	1456
880	10695	1444
881	10705	1432
882	10714	1419
883	10723	1407
884	10731	1394
885	10739	1381
886	10748	1369
887	10755	1356
888	10763	1343
889	10771	1331
890	10780	1318
891	10787	1306
892	10794	1293
893	10802	1280
894	10810	1268
895	10836	1257
896	10861	1247
897	10889	1236
898	10906	1225
899	10917	1213
900	10927	1200
901	10936	1188
902	10946	1175
903	10955	1163
904	10975	1152
905	11013	1142
906	11038	1131
907	11067	1121
908	11080	1109
909	11090	1096
910	11098	1084
911	11107	1071
912	11115	1059
913	11123	1046
914	11131	1034
915	11139	1021
916	11146	1008
917	11154	996
918	11161	983
919	11176	971
920	11200	960
921	11234	950
922	11260	939
923	11275	927
924	11285	915
925	11294	902
926	11302	890
927	11310	877
928	11318	865
929	11325	852
930	11333	839
931	11340	827
932	11348	814
933	11356	802
934	11363	790
935	11371	777
936	11393	766
937	11437	755
938	11461	744
939	11473	732
940	11483	720
941	11493	707
942	11501	695
943	11510	682
944	11518	670
945	11525	657
946	11533	645
947	11542	633
948	11550	620
949	11557	608
950	11564	595
951	11572	583
952	11580	571
953	11605	559
954	11629	547
955	11652	536
956	11672	524
957	11684	512
958	11694	499
959	11703	487
960	11711	475
961	11720	462
962	11727	450
963	11735	438
964	11743	425
965	11751	413
966	11759	401
967	11767	389
968	11774	376
969	11782	364
970	11796	352
971	11821	340
972	11848	328
973	11873	316
974	11889	304
975	11900	292
976	11910	280
977	11917	268
978	11925	255
979	11932	243
980	11944	231
981	11960	219
982	11975	207
983	11991	194
984	12011	182
985	12028	170
986	12038	158
987	12047	146
988	12055	134
989	12063	121
990	12071	109
991	12079	97
992	12086	85
993	12094	73
994	12101	60
995	12109	48
996	12131	36
997	12155	24
998	12179	12
999	12204	0
